Date,Nurses,Change,Sign
2010-09-30,279882.62984,0.00507163293576473,1
2010-10-31,281476.7476600001,0.0027685079747090525,1
2010-11-30,281587.69473,7.850585990924027e-4,1
2010-12-31,280399.1458699999,6.124086691761572e-4,1
2011-01-31,281106.73891000013,1.5195932475336188e-4,1
2011-02-28,280973.89407,-0.0016708046327850996,-1
2011-03-31,280516.12562999985,-0.005201703651288538,-1
2011-04-30,279266.0744199999,-0.008318084790375383,-1
2011-05-31,278635.45081,-0.008239019684434308,-1
2011-06-30,277910.52768000006,-0.009655260416667361,-1
2011-07-31,277023.81751,-0.010419364403578093,-1
2011-08-31,275839.55569999985,-0.011596256091050312,-1
2011-09-30,277047.22811,-0.010130681320312347,-1
2011-10-31,278094.21974999993,-0.012017077567224074,-1
2011-11-30,277728.80831999995,-0.01370403068820221,-1
2011-12-31,276787.34357000014,-0.012880931890121631,-1
2012-01-31,277506.2052100001,-0.012808421861251734,-1
2012-02-29,274841.50408000004,-0.02182547958876263,-1
2012-03-31,275114.2106600002,-0.01925705681934574,-1
2012-04-30,275120.12056,-0.014845891569932048,-1
2012-05-31,272471.37373999995,-0.02212237190953605,-1
2012-06-30,271782.4554000001,-0.022050522271168257,-1
2012-07-31,271211.52306999994,-0.020981208374945135,-1
2012-08-31,269912.69726000004,-0.021486615380303886,-1
2012-09-30,271406.83591,-0.020358955541545848,-1
2012-10-31,273560.84381000005,-0.01630158276599664,-1
2012-11-30,274126.99561,-0.012968812028494897,-1
2012-12-31,273360.13122999994,-0.012382113632061547,-1
2013-01-31,274163.3967600001,-0.012045887217081773,-1
2013-02-28,274544.55204999994,-0.0010804482787056292,-1
2013-03-31,274803.25364999997,-0.0011302833439765195,-1
2013-04-30,274599.44924,-0.0018925235963847713,-1
2013-05-31,273936.57782999997,0.005377460648024456,1
2013-06-30,273782.78513999993,0.007360039988805842,1
2013-07-31,273372.9200299999,0.007969414188357053,1
2013-08-31,272188.44586,0.008431424764755556,1
2013-09-30,274626.7240499999,0.011863695802664349,1
2013-10-31,277013.99084999994,0.012622957993207009,1
2013-11-30,278489.9304100001,0.015915742958082263,1
2013-12-31,277909.8209,0.01664357435566209,1
2014-01-31,279400.54112000007,0.019102274125179886,1
2014-02-28,280019.67906,0.019942581155290698,1
2014-03-31,280835.53354000003,0.021951268079536672,1
2014-04-30,280300.3411200001,0.020760754967929836,1
2014-05-31,279793.6983599999,0.021381301381499986,1
2014-06-30,279171.96455999993,0.01968414273104944,1
2014-07-31,277924.30919000006,0.016649012489974017,1
2014-08-31,276762.74258999986,0.016805624190060858,1
2014-09-30,278980.70739,0.01585418664211057,1
2014-10-31,281437.15236999997,0.015967285646576304,1
2014-11-30,282140.7202,0.013109234451044985,1
2014-12-31,281488.65558000014,0.012877683373729762,1
2015-01-31,282074.1934000001,0.009569245174982421,1
2015-02-28,282463.76262,0.008728256414708282,1
2015-03-31,282994.87421000004,0.0076889866562859475,1
2015-04-30,282160.35048,0.006635772730663983,1
2015-05-31,281325.5108299998,0.005474792602472994,1
2015-06-30,280961.79394000006,0.006411207453517255,1
2015-07-31,279861.9011099999,0.006971653273680519,1
2015-08-31,278758.17365000007,0.007209897695501108,1
2015-09-30,281474.47044000006,0.008938836930088935,1
2015-10-31,284870.15379,0.012198110274675975,1
2015-11-30,285664.5034,0.012489452772014317,1
2015-12-31,284238.73134,0.009769756988370992,1
2016-01-31,285094.29996000003,0.010706780806839759,1
2016-02-29,285636.91714000003,0.011233846389948794,1
2016-03-31,285387.42672000005,0.00845440228088578,1
2016-04-30,285080.1405000001,0.010347981263253472,1
2016-05-31,284652.3645100001,0.01182563810222903,1
2016-06-30,283674.16734,0.009653886964357712,1
2016-07-31,282708.13901000004,0.01017015138077479,1
2016-08-31,281812.19840000017,0.010955821348702892,1
2016-09-30,284288.1449200001,0.009996197792296109,1
2016-10-31,287196.98626,0.008168045823836127,1
2016-11-30,287439.9961799999,0.006215307673399625,1
2016-12-31,285173.38407000003,0.0032882666116392846,1
2017-01-31,286019.80362,0.0032463071346212104,1
2017-02-28,285762.81531000003,4.4076294920342374e-4,1
2017-03-31,285893.42691000004,0.0017730290216900115,1
2017-04-30,284619.08877000003,-0.0016172706004403859,-1
2017-05-31,283624.48048999987,-0.003611015217701169,-1
2017-06-30,282603.47676,-0.0037743675782670404,-1
2017-07-31,281363.3533600001,-0.0047567984944089274,-1
2017-08-31,280307.4421700001,-0.0053395709573374394,-1
2017-09-30,283853.10432000004,-0.0015302804839874278,-1
2017-10-31,287147.2369100001,-1.7322378847960346e-4,-1
2017-11-30,286921.2834,-0.0018045950003250707,-1
2017-12-31,285271.9655500002,3.456896243022799e-4,1
2018-01-31,286214.55626000016,6.809061384395654e-4,1
2018-02-28,285719.62566,-1.5113810365131652e-4,-1
2018-03-31,285745.4859800001,-5.174688050680383e-4,-1
2018-04-30,284735.8406000001,4.1020379379553125e-4,1
2018-05-31,284073.03398,0.0015815048448046497,1
